id,summary
250366726,"당진축협 사료공장 신축 이전이 추진 중인 가학리 2반 주민들은 당진시의회에 <사료공장 이전에 대한 송악읍 가학리2반 주민들의 입장>이라는 호소문을 보내는 등 사료공장 이전 문제에 대한 주민들의 입장을 밝혔다.
이들은 또한 “가학리 이장을 비롯한 가학리 주민대표와 사업시행사인 G업체 대표가 작성하고 서명한 ‘주민동의·합의서’가 무효라고 주장했다.
지난해 8월 송악읍사무소에서 토지개발업체인 G업체와 가학리 이장 등 주민대표들이 주민동의·합의서를 작성, 서명한 것을 두고 2반 주민들은 “사료공장 이전에 따른 피해를 가장 많이 입게 될 가학리 2반 주민들의 의견이 전혀 반영되지 않은 채 일방적으로 추진한 사항”이라며 “‘사업설명회를 진행했지만 공장 입주를 반대하는 주민들이 참여하지 않은 것’이라는 G업체 측의 주장은 사실과 다르다”고 말했다.
이들은 “사료공장 이전을 반대하는 주민들을 지속적으로 회유하고 협박했다”면서 “사유재산 침해로 고발해 경제적 책임을 묻겠다는 협박을 수시로 받았고, 반대의사를 표명하기 위해 걸어놓은 현수막을 무단으로 철거하는 등 가학리 2반 주민들의 정당한 의사표현을 방해했다”고 주장했다.
주민들은 “앞으로도 주민들의 요구가 관철될 때까지 끝까지 싸울 것”이라며 “사료공장 이전이 강행되더라도 합당한 법적 절차를 비롯해 모든 조치를 취해 나갈 것”이라고 덧붙였다."
251994086,"남송 채규선 작가가 2016 소외예술 활성화 지원사업 ‘시나브로’에 선정됐다.
채 작가는 지난달 10일 당진문화재단 출판기념회를 갖고, 한시집을 출간했다.
소외예술 활성화 지원사업 시나브로는 ‘모르는 사이에 조금씩’이라는 순우리말 시나브로의 의미처럼 대중에게 잘 알려지지 않고 활성화 되지 못한 예술장르를 선정해 지원하는 사업이다.
남송 채규선 작가가 발간한 책은 채 작가가 2000년부터 쓴 한시를 모아 엮은 책이다.
채 작가는 “한시는 한문의 꽃”이라며 “10대부터 한시를 지었다”고 말했다.
이어 “어릴 적 80~90대 지역 어르신들과 함께 한시를 짓곤 했다”며서 “어릴 적 쓴 한시들이 사라져 아쉽다”고 전했다.
>>남송 채규선 작가는"
252639804,"정 주무관은 “시민들이 모르고 있는 부분을 알리고 공유할 수 있어 뿌듯하다”며 “가끔 질타를 받기도 하지만 겸허히 받아들이고 개선방안을 찾는다”고 말했다.
한편 정 주무관은 2009년부터 꾸준히 당진시대를 구독하고 있다.
어렸을 때 뉴스와 신문을 자주 보던 아버지의 영향으로 신문을 통해 정보를 얻는게 익숙하다는 그는 “공직생활을 시작하면서 당진의 소식을 알고 싶어 구독하기 시작했다”며 “지역 곳곳의 현장을 생동감 넘치게 다루는 당진시대를 칭찬하고 싶다”고 말했다.
정 주무관은 공무원인 만큼 시정 현안에 대한 기사와 다양한 필진들의 칼럼을 주로 보고 있다.
정 주무관은 “공무원이다 보니 시정 현안에 대해 지적받은 부분은 꼼꼼히 읽고 대안을 찾는다”며 “칼럼 지면을 보며 글쓰기 방법에 대해 고민하기도 한다”고 말했다.
한편 정 주무관은 주택가격이나 아파트 분양 정보, 경제동향 등 시민들에게 와 닿는 생활밀착형 경제기사를 보완해 달라고 주문했다."
252639915,"스리랑카 공항에 내려 8시간 동안 차를 타고가야만 진옥성결교회가 개척한 교회에 도착할 수 있다.
진옥성결교회 어린이들이 찬양과 율동을 선보이자, 스리랑카 사람들이 관심을 보이기 시작했다.
고대면 진관2리에 위치한 진옥성결교회(담임목사 이진수) 교인 28명이 지난 16일부터 21일까지 스리랑카 보라가스 지역으로 성전 봉헌식 및 단기선교를 다녀왔다.
또 교인들은 2년 전 개척한 스리랑카 교회를 방문해 사역활동도 진행했다.
“이번 성전 봉헌식 및 단기선교를 통해 교인들이 영적인 자신감을 얻어 다음 선교 준비를 시작했습니다."
253427793,"당진시는 ‘설자리’ 전략을 통해 앞으로 당진시 청년발전기본조례를 제정, 수요자 중심의 청년정책을 발굴하기 위한 당진시청년정책위원회 구성과 청년과의 공감대 형성을 위한 토크쇼 ‘청진기’를 개최할 예정이다.
또한 ‘일자리’ 전략을 통해 일취월장 배달학교와 청년취업사관학교 ‘Job School’, 면접날 스타일-업 서비스, SNS 일자리 정보제공 등 실효성 있는 역량강화 프로그램을 운영할 방침이다.
더불어 ‘살자리’ 전략을 통해 취업준비생 가운데 주거환경 위기자 발굴과 보육행정 사각지대 해결책으로 아이 돌봄 서비스 분야의 사회적기업 창업을 지원한다.
당진시는 위 4가지 정책을 추진하기 위해 이달 중 당진시 청년정책네트워크를 구성하고 시장 직속의 청년정책추진단을 통해 부서별로 세부사업을 책임 운영하는 동시에 1회 추가경정예산 중 청년예산을 확보, 청년층을 위한 사업에 집중 투자할 방침이다.
당진시의회 김기재 의원은 당진시의 청년정책 추진에 대해 “청년들 역시 지역사회의 구성원으로서 큰 역할을 담당할 수 있다”며 “당진시가 적극적으로 청년들과 소통하고, 청년들이 지역사회의 기둥으로 설 수 있도록 기반을 다지는 청년정책을 펼쳤으면 한다”고 당부했다.
성남시의 대표적인 청년배당은 3년 이상 성남에서 거주하고 있는 만 19세부터 24세까지 청년을 대상으로 분기별로 성남사랑상품권(25만 원 상당)을 지급한다.
■취업지원: 장기 미취업자 및 취약계층 청년을 우선 지원하며 구직자 취업준비 상황에 따라 맞춤형 프로그램을 구성하고 지원한다."
254232969,"한 대표는 “당진이라는 곳이 익숙하지 않았지만 젊은 나이에 도전하고 싶은 마음이 컸다”며 “커피스트릿을 당진 최고의 커피숍으로 만들고 싶다”고 말했다.
한 대표는 “노을이 지는 시간은 사람들이 가장 많이 몰리는 시간”이라며 “그만큼 경관이 아름답고 깔끔한 인테리어와 함께 커피를 마실 수 있다는 것이 장점”이라고 말했다.
한편 한 대표는 커피스트릿의 인테리어를 직접 맡았다.
또한 커피의 경우 로스팅 후 숙성된 원두를 사용하기 때문에 깔끔하고 부드러운 맛을 낸다.
과일청은 생과일과 함께 숙성된 시럽을 넣어 우려낸 차로, 여성들에게 인기다.
한 대표는 “이외에도 다양한 연령층이 즐길 수 있는 메뉴가 많이 준비돼 있다”고 말했다.
커피스트릿을 당진 최고의 커피숍으로 만들고 싶습니다.”"
254232993,"▲ 지난 9일 당진시배구협회 회장 이취임식에서 김명기 이임회장(오)과 김송원 이임회장(왼)의 모습
당진시배구협회 김명기 회장이 이임하고, 김송원 회장이 취임했다.
제8대 회장으로 새롭게 당진시배구협회를 이끌게 된 김송원 취임회장은 “지난 4년간 당진시배구협회를 이끌어 준 김명기 이임회장이 배구인의 염원인 도민체전 3위 차지, 전국배구대회 유치, 초등학교 배구부 창단 등의 성과를 냈다”며 “전직 회장들이 일궈놓은 업적에 누가 되지 않도록 더욱 노력하겠다”고 말했다.
더불어 “배구는 남녀 구분 없는 역동적인 스포츠”라며 “즐겁게 경기하고 성과를 내는 배구협회가 되도록 힘쓰겠다”고 덧붙였다."
259992066,"대한민국 공군전우회 충남서부지회
대한민국 공군전우회 충남서부지회가 지난 18일 창단된 가운데, 조봉환 씨가 초대지회장을 맡아 임명장을 수여받았다.
△고문: 박천수 박상묵 △위원장 홍만진 원창배 박창규 △회장: 조봉환 △부회장: 이철호 △총무국장: 김병선 △재무국장: 서대동 △조직국장: 문필현 △홍보국장: 이은선 △감사: 조규행"
261494514,"▲ 면천초등학교 학생과 가족들이 참여하는 면천진달래가족봉사단이 지난 4일 발대식을 열고 활동을 시작했다.
면천지역의 초등학생과 부모 및 가족들이 함께하는 면천진달래가족봉사단(단장 문경자)이 창단됐다.
당진남부사회복지관(관장 김창희)은 농림축산식품부와 농어촌희망재단으로부터 국비를 지원을 받아 농촌지역의 학생과 부모가 함께 할 수 있는 문화생활을 지원하고, 봉사활동을 통해 독거노인을 대상으로 하는 봉사활동을 추진하고 있다.
이들은 4월부터 11월까지 매주 화요일 저녁마다 면천면복지회관에 모여 △요리 △손·발 마사지 △구연동화 등을 배우고, 지역 내 독거노인들과 자매결연을 맺어 배운 내용을 바탕으로 봉사할 예정이다.
인터뷰 문경자 단장(왼) · 김창희 관장(오)"
261643857,"플라시보 효과는 정치 현장에서도 그 효력을 확인할 수 있다.
텔레비전을 중심으로 다양한 미디어가 정치적 선전 도구로 전락해 정치에 활용되기 때문이다.
평소에도 그랬지만, 박근혜 탄핵과 대선을 앞둔 요즘 거의 대부분의 뉴스들은 본질 없는 정치쇼에 매몰되어 있다.
그런데 이러한 처사는 촛불 민심을 왜곡하는 정치적 쇼다.
왜냐하면 성난 민심은 박근혜 탄핵이라는 선구호로 자신들의 삶의 문제를 토로했기 때문이다.
그런데 어느 누구도 촛불이 계속되어야 한다고 주장하는 이가 없다.
또 하나의 플라시보 효과는 대선에서 극명하게 나타나는 ‘노무현 길라잡이’이다.
또 반대 세력은 노무현을 폄하해 자신들의 세를 유지, 확장하는 쇼가 한창이다.
보수건, 진보건 자신들의 정치적 담론보다 이미지와 색깔에 의존해 권력을 탐하고 있는 상황이다.
플라시보 효과의 결정판은 역시 박근혜의 언행이다.
지금 우리는 대통령 탄핵과 정권교체라는 가짜 약에 노출되어 있다."
